CORTE,SECTOR / ZONA,ACTIVIDAD,FAMILIA,VENCE,EST,CAL,CAMP,AMB,BIM,SSOMA,OTROS,CHECKS PENDIENTES,TOTAL CHECKS,ANTIGUEDAD (dias),MARCADA,CLAVE ORDEN,LISTA TRELLO,DIA DEL CORTE,ESTADO,LINK TRELLO
2026-09-08 19:52,,1CS15 — EXCAVACIÓN DE CIMENTACIONES — 26/08/2026,Excavacion,2026-08-26 18:30,4,4,0,2,0,0,0,10,21,13,,10.0013,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/ddCOodTs
2026-09-08 19:52,,1CS11 — ACERO INFERIOR EN ZAPATAS — 26/08/2026,Acero,2026-08-26 18:30,0,4,1,2,0,0,0,7,18,13,,7.0014,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/iy78YkJT
2026-09-08 19:52,,1CS13 — CONCRETO EN FALSA ZAPATA — 26/08/2026,Concreto,2026-08-26 18:30,0,5,0,1,0,0,0,6,21,13,,6.0015,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/Y0PWNUpJ
2026-09-08 19:52,,1CS6 — ACERO VERTICAL DE COLUMNAS Y ESTRIBOS PARCIALES — 26/08/2026,Acero,2026-08-26 18:30,0,0,0,2,0,0,0,2,16,13,,2.0016,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/JulGBDot
2026-09-08 19:52,,1CS4 — ENCOFRADO DE ZAPATA Y VIGA DE CIMENTACIÓN — 26/08/2026,Encofrado,2026-08-26 18:30,3,5,0,1,0,0,0,9,17,13,,9.0017,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/tA3V5ICW
2026-09-08 19:52,,1CS5 — ACERO DE VIGA DE CIMENTACIÓN — 26/08/2026,Acero,2026-08-26 18:30,0,0,0,2,0,0,0,2,18,13,,2.0018,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/sxRwEPeZ
2026-09-08 19:52,,1CS14 — ENCOFRADO DE FALSA ZAPATA — 26/08/2026,Encofrado,2026-08-26 18:30,3,7,2,1,0,0,0,13,18,13,,13.0019,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/GzkPsuol
2026-09-08 19:52,,1CS5 — ACERO SUPERIOR EN ZAPATAS — 26/08/2026,Acero,2026-08-26 18:30,1,0,0,3,0,0,0,4,22,13,,4.002,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/OFTu5Ltu
2026-09-08 19:52,,1PS1 — COMPLETADO DE ESTRIBOS EN COLUMNAS Y PLACAS — 26/08/2026,Acero,2026-08-26 18:30,0,0,0,2,0,5,0,7,26,13,,7.0021,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/uovnAhGg
2026-09-08 19:52,1CS12,ACERO INFERIOR EN ZAPATAS,Acero,2026-08-27 17:00,7,4,1,2,0,4,0,18,18,12,,18.0022,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/rK6eRUrX
