CORTE,SECTOR / ZONA,ACTIVIDAD,FAMILIA,VENCE,EST,CAL,CAMP,AMB,BIM,SSOMA,OTROS,CHECKS PENDIENTES,TOTAL CHECKS,ANTIGUEDAD (dias),MARCADA,CLAVE ORDEN,LISTA TRELLO,DIA DEL CORTE,ESTADO,LINK TRELLO
2026-09-24 15:22,2PS2,CONCRETO DE COLUMNAS Y PLACAS,Concreto,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0034,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/XIJ3tKY1
2026-09-24 15:22,1PS6,ENCOFRADO LOSAS Y CARTERA DE VIGAS,Encofrado,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0035,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/vLiKlI4S
2026-09-24 15:22,2PS1,ENCOFRADO DE FONDO DE VIGA,Encofrado,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0036,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/kR5vvusZ
2026-09-24 15:22,1PS9,CONCRETO DE COLUMNAS Y PLACAS,Concreto,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0037,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/oKxxfQo8
2026-09-24 15:22,2PS1,ENCOFRADO DE COLUMNAS Y PLACAS,Encofrado,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0038,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/NEIy3ejV
2026-09-24 15:22,2PS3,ENCOFRADO DE COLUMNAS Y PLACAS,Encofrado,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0039,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/7uyW21fc
2026-09-24 15:22,1CS7,RELLENO CON AFIRMADO COMPACTADO HASTA NIVEL DE ZAPATA,Relleno,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.004,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/z8g2Rcon
2026-09-24 15:22,1PS11,II.SS EN LOSA,Varios,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0041,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/kAyUaCJI
2026-09-24 15:22,1PS11,LADRILLO PARA TECHO,Varios,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0042,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/JIS1wXlp
2026-09-24 15:22,1CS10,RELLENO CON AFIRMADO COMPACTADO HASTA NIVEL DE ZAPATA,Relleno,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0043,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/03NqSD7j
2026-09-24 15:22,1PS20,II.EE EN LOSA,Varios,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0044,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/Ti1KxM7Y
2026-09-24 15:22,1PS4,II.EE EN LOSA,Varios,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0045,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/ms0mS0Zq
2026-09-24 15:22,1PS5,LADRILLO PARA TECHO,Varios,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0046,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/2el0Wop8
2026-09-24 15:22,1PS6,II.EE EN LOSA,Varios,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0047,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/BZzSGgrb
2026-09-24 15:22,2PS4,TRAZO Y REPLANTEO DE COLUMNAS Y PLACAS,Trazo,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0048,T. POR CERRAR - VARIOS,AYER Y ANTES,POR CERRAR,https://trello.com/c/pb5OLvkl
